category,date,total_spend,YYYY,MM
Materials Purchases,2011-04-01,294169.72,2011,4
Books and Publications,2014-04-01,6200.95,2014,4
Road Maintenance Contractor Payments,2013-05-01,35413,2013,5
Bmpp Gas Pressure Testing,2013-08-01,1807.93,2013,8
Purchase Catering Equipment,2011-02-01,2950,2011,2
Telephone Rental & Calls,2013-05-01,153051.18,2013,5
Operational Staff - Scale A to J,2013-09-01,434.51,2013,9
Agency Staff - Operational APT&C,2012-02-01,156916.7,2012,2
Highway Traffic Signals and Systems Non-Planned Maintenance,2014-02-01,7055.67,2014,2
Engineering Design Fees,2011-10-01,117963.54,2011,10
Telephone Rental & Calls,2013-09-01,59783.86,2013,9
Cleaning Materials Purchases,2013-08-01,2050.22,2013,8
Fire Service Feeding At Fires,2011-09-01,450.32,2011,9
Staff Public Transport Costs,2013-02-01,27877.23,2013,2
Office Equipment & Supplies,2012-08-01,14205.51,2012,8
Road Maintenance Contractor Payments,2013-09-01,76306.77,2013,9
Services of Solicitors Agents,2014-03-01,4923,2014,3
Highway Patching to Carriageway,2012-07-01,178847.48,2012,7
Telephone Rental & Calls,2013-04-01,213548.94,2013,4
On-Line Bank Charges,2012-02-01,3618.64,2012,2
External Examinations Fees,2014-05-01,197.55,2014,5
Equipment Purchases,2011-08-01,66121.75,2011,8
Short Term Care with Nursing,2011-11-01,3739.77,2011,11
Printing Stationery and Photocopying,2012-09-01,61996.22,2012,9
Road Maintenance Contractor Payments,2013-04-01,92519.51,2013,4
Highway Road Markings,2012-10-01,64389.72,2012,10
Accreditation Scheme Payments,2014-02-01,332109.12,2014,2
Environmental Health Officer - Kitchen Improvements,2011-02-01,2216.18,2011,2
Actuarial Fees - Frs17,2014-06-01,35735,2014,6
Domiciliary Care,2013-10-01,2157050.96,2013,10
Residence Order Allowance,2012-08-01,1056.76,2012,8
Other (Photos Etc),2013-08-01,429,2013,8
Waste Disposal & Recycling Payments,2011-12-01,225,2011,12
Bmf Electrical Installation Testing,2013-06-01,13795.27,2013,6
Highway Winter Salt Barn Availability Charge under PFI,2011-11-01,38169.18,2011,11
Minor Building Repairs,2012-02-01,40456.52,2012,2
Compact Discs,2011-07-01,3550.07,2011,7
Domiciliary Care,2014-04-01,1351784.79,2014,4
Public Inquiry Costs,2012-10-01,3451.69,2012,10
Maintenance Of Buildings,2011-04-01,1998.94,2011,4
Educational Materials,2011-07-01,600,2011,7
Vehicles Purchases,2012-08-01,29620.4,2012,8
Highway Illuminated Sign Non-Routine Maintenance,2011-12-01,3745.67,2011,12
Swimming & Games Facilities,2011-06-01,20185.68,2011,6
Foster Parents Payments,2014-02-01,181912.12,2014,2
Highway Weed spraying,2013-03-01,22879.55,2013,3
Bmf Electrical & Mechanical Maintenance,2013-01-01,2768.68,2013,1
Schedule of Rates Vehicle Maintenance,2012-09-01,50092.1,2012,9
Construction Costs-Mobile Classrooms,2012-11-01,61784.9,2012,11
Contract Cleaning & Other Cleaning Services,2013-01-01,1014.25,2013,1
Purchase Of Furniture,2012-02-01,4531.32,2012,2
Foster Care Child In Care Gifts,2011-10-01,980,2011,10
Providing Financial Assistance to Service Users,2011-07-01,9421.23,2011,7
Care Leavers-Education/Training,2012-09-01,510,2012,9
Landfill Leachate Costs,2012-09-01,21981.62,2012,9
Library Books - Adult Fiction,2011-05-01,12019.69,2011,5
Child In Care Residential School 52 Week In Norfolk,2012-09-01,101242.23,2012,9
Domiciliary Care,2012-08-01,1001479.25,2012,8
Personal Budget - Long Term Nursing Care,2011-05-01,4637.2,2011,5
Vehicle Repair Costs,2012-01-01,489.72,2012,1
Security Guards,2011-04-01,486,2011,4
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2013-12-01,4055.32,2013,12
Voluntary Driver Payments,2011-01-01,4839.9,2011,1
Grant Payments,2012-03-01,376731.83,2012,3
Highway Illuminated Signs Energy,2011-01-01,38557.16,2011,1
Personal Budget - Respite Residential Care,2012-01-01,14516.46,2012,1
Bmpp Tank Clean/Water System Disinf,2013-11-01,9083.92,2013,11
Internal Redecoration,2012-01-01,20160,2012,1
Care Leavers Rent & Accommodation,2011-12-01,44571.36,2011,12
Purchase of Care - Unspecified,2013-08-01,9497.53,2013,8
Personal Budget - Day Care,2013-03-01,42897.52,2013,3
Non Staff Advertising - Discretionary,2013-07-01,13037.38,2013,7
Actuarial Fees - Frs17,2012-06-01,47510,2012,6
Premises Staff Overtime,2011-09-01,2897.6,2011,9
Private Contractor Site Operation Payments,2012-03-01,2304782.32,2012,3
Water and Sewerage Costs,2014-05-01,11702.71,2014,5
Bmf Asphalting,2013-12-01,5354.99,2013,12
Agency Staff - Admin/Chief Officers - Scale K and Above,2012-07-01,44530.68,2012,7
Foster Parents Payments,2012-05-01,230936.89,2012,5
ICT System Improvements,2014-03-01,1597871.07,2014,3
Telephone Rental & Calls,2013-12-01,54550.68,2013,12
Purchase Of Vehicles over 20K,2012-01-01,539150,2012,1
Grounds Maintenance Costs,2011-11-01,55247.54,2011,11
Special Guardianship Child In Need,2011-05-01,526.46,2011,5
Agency Staff - Operational - Manual,2011-04-01,57966.62,2011,4
Homelessness Support Child In Need,2011-12-01,3645,2011,12
Highway Winter Vehicle Charges,2014-03-01,5375,2014,3
Highway Traffic Signals and Systems Outstation Communication Maintenance,2012-12-01,10553.96,2012,12
Structural Building Work,2011-11-01,20499.89,2011,11
Payments to Organisations Providing Services To NCC,2014-08-01,104778.48,2014,8
Child In Care Residential Education Only,2014-06-01,17364.07,2014,6
Non Staff Public Transport Costs,2012-07-01,948517.71,2012,7
Fuel Oil,2012-04-01,3793.31,2012,4
Road Maintenance Contractor Payments,2013-12-01,90839.09,2013,12
Grants To Outside Bodies,2011-05-01,385604,2011,5
Child In Care Residential Education Only,2014-07-01,31537.8,2014,7
Voluntary Driver Payments,2012-06-01,8230.37,2012,6
Library Books General,2012-03-01,13855.5,2012,3
Non Pension Payments,2012-02-01,113554.96,2012,2
Library Books - Junior Non Fiction,2011-09-01,4735.77,2011,9
Electricity,2014-02-01,107183.79,2014,2
Architects Fees,2013-02-01,5775,2013,2
Child In Care Agency Fostering,2012-11-01,992097.95,2012,11
Contact Arrangements,2013-06-01,691.25,2013,6
Other Travel Expenses,2011-02-01,571.34,2011,2
Voluntary Driver Payments,2014-06-01,9868.51,2014,6
Private Finance Initiative Payments,2014-08-01,523368.37,2014,8
Staff Training Costs,2013-11-01,31544.58,2013,11
Certificate - Environment Control Systems,2011-08-01,8119.55,2011,8
"Non Staff Course, Conference & Subsistence Expenses",2014-02-01,12045.12,2014,2
Housing Related Support-Other Bodies,2012-09-01,14898.11,2012,9
Subscriptions To Other Libraries,2011-09-01,827.4,2011,9
Other Support Costs,2011-02-01,12300,2011,2
Tree Planting/Landscaping Works,2014-08-01,30000,2014,8
Child In Care Residential Education Only,2012-06-01,8410.38,2012,6
Voluntary Driver Payments,2014-07-01,10364.38,2014,7
External Examinations Fees,2013-07-01,1085,2013,7
Highway Fencing Repairs,2013-06-01,34710.18,2013,6
Highway Drainage Repairs,2012-07-01,4534.11,2012,7
Electricity,2012-05-01,101947.52,2012,5
Operational Staff - Scale A to J,2013-12-01,3200,2013,12
Certificate - Building Fabric,2013-02-01,36669.25,2013,2
Samples Analysis,2011-01-01,8493.4,2011,1
Highway Grass Cutting,2011-08-01,12061.47,2011,8
Protective Clothing and Uniforms,2011-04-01,12174.22,2011,4
Bmpp Building Repairs,2014-07-01,47357.6,2014,7
Bmf Gas Pressure Testing,2014-04-01,33.97,2014,4
Agency Staff - Operational APT&C,2011-06-01,116329.96,2011,6
Domiciliary Care,2011-02-01,1087055.5,2011,2
Adult Placement Scheme,2012-05-01,6707.12,2012,5
Bmf Gas Pressure Testing,2013-10-01,5218.29,2013,10
Default,2011-06-01,774.13,2011,6
Private Voluntary Independent School Pre-school & Playgroup,2013-03-01,32157.07,2013,3
Vehicle  Leasing Costs,2014-08-01,263486.42,2014,8
Refuse Collection Costs,2011-08-01,1914.95,2011,8
CMW M&E Other,2012-06-01,968.12,2012,6
Highway Traffic Signals and Systems Planned and Contracted Maintenance,2012-01-01,21635,2012,1
Bmpp Tank Clean/Water System Disinf,2013-02-01,10844.17,2013,2
Direct Payment - Domiciliary Care,2014-08-01,-7417.52,2014,8
Agency Staff - Operational - Manual,2013-06-01,66636.44,2013,6
Bmpp Building Repairs,2014-06-01,36858.78,2014,6
CONSTR COSTS - M&E OTHER,2012-01-01,337864.85,2012,1
School Equipment Inspection/Testing,2011-09-01,12068.95,2011,9
Building Repairs,2012-05-01,130832.67,2012,5
Highway Patching to Carriageway and Footway,2012-06-01,55,2012,6
Other Newspaper/Periodicals,2011-03-01,714,2011,3
Highway Patching to Carriageway,2012-11-01,124552.85,2012,11
Highway Patching to Carriageway and Footway,2014-06-01,966,2014,6
Residence Order Allowance,2011-02-01,2022.54,2011,2
Highway Fencing Repairs,2011-04-01,223.8,2011,4
Operational - Manual,2011-03-01,71527.35,2011,3
Protective Clothing and Uniforms,2013-06-01,20454.17,2013,6
Vehicles Purchases,2011-02-01,1090.02,2011,2
Buildings Fixtures & Fittings,2012-09-01,3370.64,2012,9
On-Line Bank Charges,2011-06-01,2689.7,2011,6
Buildings - Internal Redecoration,2014-04-01,3181,2014,4
Highway Safety Barriers,2011-01-01,12623.73,2011,1
Construction Costs -Roads - ECI - May Gurney,2013-10-01,159234.33,2013,10
Maintenance Of Site,2011-06-01,5947,2011,6
DVD'S,2012-09-01,5074.59,2012,9
Bus & Rail Passes,2011-01-01,1952.1,2011,1
Other Professional Services,2013-07-01,31639.05,2013,7
Child In Care Residential School 38 Week In Norfolk,2013-07-01,15110,2013,7
Buildings - Internal Redecoration,2013-10-01,5157.13,2013,10
Highway Patching to Carriageway and Footway,2014-07-01,591.8,2014,7
Construction Costs -Roads - ECI - May Gurney,2014-04-01,7784.06,2014,4
Long Term Residential Care,2011-11-01,8219684.21,2011,11
Bmf Plant Replacements,2014-08-01,9009.76,2014,8
Caretakers,2011-09-01,2027.12,2011,9
Cost of Sales,2012-07-01,4055.4,2012,7
Bmf Gas Appliances & Repairs Test,2014-06-01,2199.99,2014,6
Welfare/ Learning Support Assistants,2012-10-01,417.36,2012,10
Library Books - Electronic Subscriptions,2012-05-01,8055,2012,5
Bmf Tank Clean/Water System Disinf,2013-09-01,4305.16,2013,9
Library Books - Large Print,2011-08-01,4931.7,2011,8
Bmf Lifts Maintenance & Repairs,2013-01-01,4472.92,2013,1
Fuel Oil,2012-12-01,6405.59,2012,12
Supporting Families with Disabilities - Domiciliary Care,2013-07-01,1948.32,2013,7
Construction Cost-Adoption/Improvement Building,2011-05-01,3082533.06,2011,5
Highway Pothole Repairs,2012-01-01,7156.38,2012,1
Certificate - Building Fabric,2013-11-01,22201.75,2013,11
Mgt Fees - Gen,2011-07-01,10219.29,2011,7
Other Support Costs,2012-08-01,21456.01,2012,8
Services Provided By Landlord,2012-05-01,43721.04,2012,5
Other Vehicles Running Costs,2013-08-01,6344.21,2013,8
Library Books-Adult Non Fiction,2014-01-01,2969.98,2014,1
Other Expenses,2012-11-01,23546.88,2012,11
Rents and Hire of Premises & Facilities,2013-08-01,11871.85,2013,8
Agency Staff - Social Services Operational-Other1 April,2013-12-01,8996.86,2013,12
"Printing, Stationery and Photocopying",2013-12-01,11064.74,2013,12
Staff Training Costs,2013-02-01,29185.8,2013,2
Bmf Tank Clean/Water System Disinf,2013-04-01,1346.16,2013,4
Care Leavers Independent Living Grant,2013-07-01,750,2013,7
Compensation & Ex-Gratia Payments,2012-04-01,8950,2012,4
Highway Road Cleansing,2011-03-01,2132.31,2011,3
Consultants Design Fees,2013-01-01,5464.62,2013,1
Bmf Gas Appliances & Repairs Test,2014-07-01,1588.68,2014,7
Building Alterations & Improvements,2011-05-01,44529.34,2011,5
Agency Staff - Supply Teachers,2012-11-01,23030.61,2012,11
Fire Service Feeding At Fires,2011-07-01,968.12,2011,7
Highway Surveys Footways/Cycleways,2013-01-01,24629.95,2013,1
Services Provided By Landlord,2014-02-01,4000.08,2014,2
Bmpp Security Systems,2013-12-01,23352.23,2013,12
Long Term Care with Nursing,2011-06-01,1002252.82,2011,6
Other Support Costs,2013-10-01,2232.52,2013,10
Bmpp Boiler Servicing,2014-08-01,70160.28,2014,8
Library Books - Electronic Subscriptions,2014-02-01,28650,2014,2
Child In Care Nursing Care Home,2012-01-01,33888.78,2012,1
Internal Recharge Schools,2013-03-01,9441,2013,3
Legal Expenses Land,2013-01-01,3100,2013,1
Estate / Site Management Costs,2011-12-01,107080.12,2011,12
Certificate - Electricity Power & Light,2012-07-01,172558.34,2012,7
Fire Service Radio Equipment - Running Costs,2012-01-01,2414.23,2012,1
Admin/ Chief Officers - Scale K and Above,2012-01-01,10416.57,2012,1
Custody Fees,2013-01-01,24309.51,2013,1
Bmf Tank Clean/Water System Disinf,2013-05-01,801.45,2013,5
Purchase Of Books,2011-12-01,3603.3,2011,12
Staff Subsistence & Conference Expenses,2013-12-01,7573.96,2013,12
Private Finance Initiative Payments,2013-05-01,1028752.72,2013,5
Gas Appliances & Repairs Test,2012-06-01,3730.66,2012,6
Phone - Calls,2011-03-01,1242.01,2011,3
Bmpp Electrical Installation Testing,2013-06-01,42931.39,2013,6
Teaching Support,2012-04-01,9331.25,2012,4
Refuse Collection Costs,2012-03-01,1493.86,2012,3
Homelessness Support Child In Need,2012-02-01,1970,2012,2
Purchase Of Care - M.I.S.G.,2011-04-01,735,2011,4
Special Aptitudes,2011-01-01,1881.96,2011,1
Actuarial Fees- Actuarial,2014-06-01,3275,2014,6
ICT System Improvements,2014-07-01,1894.47,2014,7
Payments to Organisations Providing Services To NCC,2013-04-01,21536,2013,4
Private Contractor Subsidy Payments,2012-08-01,469899.98,2012,8
Other Vehicles Running Costs,2011-10-01,4381.09,2011,10
Site Works - Land,2013-07-01,74360,2013,7
Rents and Hire of Premises & Facilities,2011-10-01,155139.46,2011,10
ICT System Improvements,2014-06-01,36026.62,2014,6
Alterations To Service - Electricity,2011-06-01,3306.96,2011,6
Adaptation/Improvement-Existing Buildings,2013-06-01,16114.61,2013,6
Payments to Organisations Providing Services To NCC,2013-09-01,10162.3,2013,9
Highway Rechargeable Works Payments,2013-06-01,4925.35,2013,6
Tree Planting/Landscaping Works,2013-05-01,2585,2013,5
Child In Care Residential Home In Norfolk,2011-04-01,58519.65,2011,4
Staff CRB/Police Reports,2011-07-01,26664,2011,7
Highway Winter Vehicle Charges,2011-01-01,2044,2011,1
Direct Payment - One Off Payment To Carers,2011-04-01,1000,2011,4
Highway Winter Ice Prediction Service Charge,2012-10-01,9959.9,2012,10
Tree Planting/Landscaping Works,2013-09-01,13931.92,2013,9
Payments to Organisations Providing Services To NCC,2013-05-01,57169.8,2013,5
Private Contractor Subsidy Payments,2014-04-01,344784.68,2014,4
Road Fund Driving & Operators Licences,2011-11-01,241.67,2011,11
Private Finance Initiative Payments,2013-04-01,491624.6,2013,4
Alterations To Service - Telecom,2012-01-01,533.52,2012,1
Short Term Residential Care,2011-02-01,198190.38,2011,2
ICT System Improvements,2012-06-01,10875,2012,6
Child In Care Education Costs,2011-09-01,3060,2011,9
"ICT Software Purchases, Licenses & Maintenance",2014-01-01,378663.37,2014,1
Private Contractor Subsidy Payments,2013-10-01,411201.16,2013,10
Supporting Families with Disabilities - Domiciliary Care,2012-09-01,5537.19,2012,9
Own Disbursements Other,2013-03-01,1211.25,2013,3
Tree Planting/Landscaping Works,2013-04-01,875,2013,4
Official Legislation Documents,2011-03-01,3402.5,2011,3
Bmf Electrical & Mechanical Maintenance,2012-11-01,6973.57,2012,11
Newspaper Filming,2011-09-01,1754.61,2011,9
Construction Costs-Mobile Classrooms,2013-01-01,2270.65,2013,1
Contract Cleaning & Other Cleaning Services,2012-11-01,1402.2,2012,11
Lifts Maintenance & Repairs,2012-08-01,6814,2012,8
Waste Disposal & Recycling Payments,2012-02-01,46.2,2012,2
Highway Traffic Signals and Systems Energy,2011-09-01,14282.25,2011,9
Voluntary Driver Payments,2014-03-01,8846.77,2014,3
Other Miscellaneous Expenses,2011-06-01,14682.9,2011,6
Buildings Fixtures & Fittings,2013-07-01,1019,2013,7
Minor Building Repairs,2011-12-01,39801.22,2011,12
Library Books - Large Print,2012-03-01,631.8,2012,3
Reroofing,2012-03-01,14916.61,2012,3
Highway Bridge Maintenance,2011-04-01,144399.02,2011,4
Architects Fees,2011-03-01,722725.09,2011,3
Other Professional Services,2012-09-01,40095.42,2012,9
Highway Illuminated Sign Non-Routine Maintenance,2012-02-01,7491.34,2012,2
Wireless-Installation Charges,2011-01-01,3170,2011,1
Public Inquiry Costs,2013-08-01,59413.83,2013,8
Fire Service Radio Equipment - Purchase,2011-11-01,2251.56,2011,11
ICT System Improvements,2011-01-01,19950,2011,1
Purchase Of Furniture,2011-12-01,7106.18,2011,12
DVD'S,2013-07-01,3330.41,2013,7
Other (Photos Etc),2012-10-01,2866.5,2012,10
Tank Clean/Water System Disinfection,2011-10-01,25708.48,2011,10
Equipment Leasing Costs,2013-07-01,2250,2013,7
Child In Care Residential Education Only,2014-03-01,12607.01,2014,3
Gas (mains supplied),2011-04-01,790.87,2011,4
Accreditation Scheme Payments,2012-01-01,284233.76,2012,1
Work In Progress,2011-07-01,329.13,2011,7
Electrical & Mechanical Maintenance.,2012-10-01,20484.96,2012,10
Delivery/Collection,2011-01-01,672.74,2011,1
Awards Or Grants For School Children Students & Learners,2012-04-01,800,2012,4
Highway Winter Vehicle Charges,2014-06-01,1638,2014,6
Contract Transport  Hire,2011-06-01,2095720.12,2011,6
Certificate - Building Fabric,2011-03-01,14361.87,2011,3
Clients Bus & Rail Passes,2011-04-01,140.8,2011,4
Highway Verge Hedge and Tree Maintenance,2012-03-01,222.38,2012,3
Learning Resources Purchases,2012-03-01,506.63,2012,3
Care Leavers Rent & Accommodation,2012-02-01,35496,2012,2
Highway Traffic Signals and Systems Non-Planned Maintenance,2012-01-01,1335.9,2012,1
Gas Appliances & Repairs Test,2011-01-01,3200.16,2011,1
Contributions to NCC Partnerships,2011-01-01,3750,2011,1
Child In Care Short Term Break,2012-05-01,1544,2012,5
Certificate - Building Fabric,2014-01-01,6229.37,2014,1
Adoption Allowance Payments,2011-07-01,8289.52,2011,7
Highway Winter Salt Usage,2011-06-01,16345.48,2011,6
Child In Care Agency Fostering,2013-01-01,706204.279999999,2013,1
Gas Pressure Testing,2012-04-01,203.23,2012,4
Agency Staff - Relief Assistant Warden,2013-06-01,2051.54,2013,6
Housing Related Support-Other Bodies,2013-07-01,200989.08,2013,7
Bmpp Boiler Servicing,2013-05-01,56738.06,2013,5
Short Term Residential Care,2012-08-01,151403.53,2012,8
Ext Highways - Utilities Trench & Cover Repairs,2012-07-01,5137.25,2012,7
Other Newspaper/Periodicals,2013-02-01,2418,2013,2
Air Travel,2011-07-01,1278.1,2011,7
Customer Research & Insight,2011-06-01,3000,2011,6
Construction-Eci-Management,2011-02-01,118328.6,2011,2
Other Vehicles Running Costs,2012-10-01,731.01,2012,10
Construction Cost-Adaptation/Improvement Building,2014-04-01,1845336.6,2014,4
Rents and Hire of Premises & Facilities,2012-10-01,73142.94,2012,10
Insurance Premiums Paid -External,2011-01-01,505.5,2011,1
Conservation Grants,2011-04-01,4633.27,2011,4
Bmf Tank Clean/Water System Disinf,2014-08-01,5594.55,2014,8
External Examinations Fees,2012-09-01,1503.3,2012,9
Construction Cost-Adaptation/Improvement Building,2013-10-01,2284864.73,2013,10
Lifts Maintenance & Repairs,2011-02-01,4132.77,2011,2
Highway Bridge Maintenance,2013-06-01,112962.02,2013,6
Free Nursing Care,2012-01-01,47894.18,2012,1
Bmpp Tank Clean/Water System Disinf,2014-01-01,8273.62,2014,1
